Msg#,Utterance #,Date,Time,User ID,Gender,Message,act,politeness,meta
1,a,2023-01-21,15:59:45,JuvieThrowaw,M,My mom was as in an abusive relationship with her boyfriend when I was 12-14.,Inform,,
1,b,2023-01-21,15:59:45,JuvieThrowaw,M,"He would beat her badly,leaving her with broken ribs, black eyes, etc.",Inform,,
1,c,2023-01-21,15:59:45,JuvieThrowaw,M,My mom would always tell me and my sister to just ignore it.,Inform,,
1,d,2023-01-21,15:59:45,JuvieThrowaw,M,"One day, I came home from a friends house, and my little sister (10 at the time) was crying.",Inform,,
1,e,2023-01-21,15:59:45,JuvieThrowaw,M,"She told me he hit her and threw against the wall, and showed me the bruises. ",Inform,,
1,f,2023-01-21,15:59:45,JuvieThrowaw,M," In that moment, I went dark.",Claim,,
1,g,2023-01-21,15:59:45,JuvieThrowaw,M,"We lived in a poor trailer trash town with high crime,so I had plenty of friends who had guns.",Inform,,
1,h,2023-01-21,15:59:45,JuvieThrowaw,M,"The next day, I went to one of my good friend’s house and told him everything, and we got in the car and drove to mom’s bf’s house and waited for him.",Inform,,
1,i,2023-01-21,15:59:45,JuvieThrowaw,M,"When he got home and got out of his car, my friend handed me the gun, ",Inform,,
1,j,2023-01-21,15:59:45,JuvieThrowaw,M,"I got out and walked up to him, said 'fuck you bitch' and shot him.",Inform,,
1,k,2023-01-21,15:59:45,JuvieThrowaw,M,"I was arrested shortly after, and somehow they had no idea who he as with (no witnesses to say the make of the car), so I never gave up my friend, as he didn’t shoot him.",Inform,,
1,l,2023-01-21,15:59:45,JuvieThrowaw,M,I was charged with murder and sentenced to juvenile life.,Inform,,
1,m,2023-01-21,15:59:45,JuvieThrowaw,M," I spent 2 years in a juvenile detention facility and was transferred to a placement facility that was more focused on rehabilitation and structure until I was 21, when I was released.",Inform,,
1,n,2023-01-21,15:59:45,JuvieThrowaw,M,AMA,Invite,,
2,a,2023-01-21,16:03:16,Guitar_nerd4312,F,How different was juvy from the rehab place? ,Inquire,,
2,b,2023-01-21,16:03:16,Guitar_nerd4312,F,Was it hard adjusting to the world once u got out?,Inquire,,
3,c,2023-01-21,17:05:28,JuvieThrowaw,M,The juvie was more prison style (though toned down) so it was more strict and confined. ,Inform,,
3,d,2023-01-21,17:05:28,JuvieThrowaw,M,"The placement facility was more like an almost boot camp, though not as harsh/militaristic.",Inform,,
3,e,2023-01-21,17:05:28,JuvieThrowaw,M,It was hard.,Claim,,
3,f,2023-01-21,17:05:28,JuvieThrowaw,M," I was still 14 at heart, since even though I matured,",Elaborate,,
3,g,2023-01-21,17:05:28,JuvieThrowaw,M," I had no idea about the world going on outside, so everything I knew was from age 14",Claim,,
4,a,2023-01-21,16:05:14,[deleted],UK,How’s your mom doing now?,Inquire,,
5,a,2023-01-21,17:05:51,JuvieThrowaw,M,She’s a lot better. ,Inform,,
5,b,2023-01-21,17:05:51,JuvieThrowaw,M,"She’s married to a really good guy, ",Inform,,
5,c,2023-01-21,17:05:51,JuvieThrowaw,M,so it all worked out,Claim,,
7,a,2023-01-22,02:12:38,FakeAsFakeCanBe,M,Why does that matter?,Reject,,
8,a,2023-01-22,13:23:05,Danieljc81,M,New stepdad was like  “Your son is in prison for what now?” Lol,Inform,,reported
9,a,2023-01-22,13:24:45,JuvieThrowaw,M,lol,React,,
9,b,2023-01-22,13:24:45,JuvieThrowaw,M,he and I have actually talked about that. ,Inform,,
9,c,2023-01-22,13:24:45,JuvieThrowaw,M,"He was surprised at first, and a little put off. ",Inform,,
9,d,2023-01-22,13:24:45,JuvieThrowaw,M,"But he had it explained to by my family and family friends, and he then was on my side",Inform,,
10,a,2023-01-23,00:59:21,Danieljc81,M,"That's cool,",React,+P,
10,b,2023-01-23,00:59:21,Danieljc81,M,I’m sorry that that asshole put you in that position. ,React,+P,
10,c,2023-01-23,00:59:21,Danieljc81,M,You had to choose between your freedom or allow your sister and mother to continue living in fear. ,Claim,+P,
10,d,2023-01-23,00:59:21,Danieljc81,M,As a young kid your opinions are limited ,Claim,,
10,e,2023-01-23,00:59:21,Danieljc81,M,and you did what you had to do,Claim,+P,
11,a,2023-01-21,16:06:30,That_Ignoramus,F,"What parts of growing up did you miss while inside,",Inquire,,
11,b,2023-01-21,16:06:30,That_Ignoramus,F, and what's your plan to build your future w/o them?,Inquire,,
12,a,2023-01-21,17:15:37,JuvieThrowaw,M,The biggest part that I missed was watching my little sister grow up.,Inform,,
12,b,2023-01-21,17:15:37,JuvieThrowaw,M,and still were very close as her and my mom came to visit me a lot.,Elaborate,,
12,c,2023-01-21,17:15:37,JuvieThrowaw,M,But I just can’t help but feel bad for missing her formative years. ,Claim,,
12,d,2023-01-21,17:15:37,JuvieThrowaw,M,"We are still close and hang out a lot, so I guess it’s a rebuilt.",Inform,,
13,a,2023-01-21,16:11:59,1girl2cl1ts,F,Do you still have a relationship with your mom?,Inquire,,
13,b,2023-01-21,16:11:59,1girl2cl1ts,F,How is your mental health now after going thru that all?,Inquire,,
14,a,2023-01-21,17:19:21,JuvieThrowaw,M,We’ve had ups and downs.,Inform,,
14,b,2023-01-21,17:19:21,JuvieThrowaw,M,"As I got around 17/18, I started to learn about the world, ",Inform,,
14,c,2023-01-21,17:19:21,JuvieThrowaw,M,"which made me really angry at my mom for telling us to ignore it, ",Claim,,
14,d,2023-01-21,17:19:21,JuvieThrowaw,M,putting my sister and I’s health at risk. ,Elaborate,,
14,e,2023-01-21,17:19:21,JuvieThrowaw,M,"She is very apologetic about it, and we rebuild our relationship,",Inform,,
14,f,2023-01-21,17:19:21,JuvieThrowaw,M, so no I’d say it is pretty normal.,Claim,,
14,g,2023-01-21,17:19:21,JuvieThrowaw,M,"I don’t mean to sound like a cold and unemotional person, ",Apologize,+N,
14,h,2023-01-21,17:19:21,JuvieThrowaw,M,but it didn’t really mess with my mental health besides being sad that I couldn’t go home or see my sister. ,Claim,,
14,i,2023-01-21,17:19:21,JuvieThrowaw,M,"I’m not sure, it’s hard to explain.",Claim,,
15,a,2023-01-21,17:22:32,1girl2cl1ts,F,I’m sorry you went thru this.. ,React,+P,
15,b,2023-01-21,17:22:32,1girl2cl1ts,F,count it as a blessing that your mental health has been good!,Direct,+P,
15,c,2023-01-21,17:22:32,1girl2cl1ts,F, Keeping you in my prayer❤️,Greet,+P,
16,a,2023-01-22,08:23:04,No-Programmer-2212,F,It is abusive that your mother kept you in that situation  ,Claim,,
16,b,2023-01-22,08:23:04,No-Programmer-2212,F,and I don't blame you for what you did. ,React,+P,
16,c,2023-01-22,08:23:04,No-Programmer-2212,F,I'm glad you two have patched things up. ,Congratulate,+P,
16,d,2023-01-22,08:23:04,No-Programmer-2212,F,I wish you nothing but the best in the future!,Greet,+P,
17,a,2023-01-22,11:07:10,hickgorilla,F,I used to work in dv. ,Inform,,
17,b,2023-01-22,11:07:10,hickgorilla,F,Often ones choices are shitty or shittier.,Claim,,
17,c,2023-01-22,11:07:10,hickgorilla,F,No good choices there. ,Accept,,
