act,politeness,meta,reason,row_idx,seed
Inform,,,"The target utterance is the beginning of a narrative where the user, JuvieThrowaw, starts to recount past events involving his mother's abusive relationship. The phrase ""My mom was in an abusive relationship with her boyfriend when I was 12-14"" provides specific information about the past, which can be verified as factual based on the user's account. This fits the definition of the ""Inform"" communicative act, as it is delivering factual context necessary for the subsequent story. The utterance does not display any explicit politeness or impoliteness, nor does it contain any non-bona fide elements like sarcasm or humor.",0,93187
Inform,,,"The target utterance ""He would beat her badly, leaving her with broken ribs, black eyes, etc."" provides factual information about the abuse the user's mother experienced. This statement is verifiable, as it describes specific physical injuries (broken ribs, black eyes) that result from the abuse. The context of the surrounding messages supports the interpretation that the user is recounting a factual narrative of past events. The previous message introduces the context of the abusive relationship, while the following message describes the mother's response to the abuse. The target utterance fits the ""Inform"" communicative act, as it conveys verifiable details about the abuse. There are no indications of politeness or meta-acts such as sarcasm or irony in this statement. Therefore, the most appropriate label for this utterance is ""Inform,"" with no politeness or meta-annotations.",1,93187
Inform,,,"The target utterance ""My mom would always tell me and my sister to just ignore it."" describes a repeated action or behavior from the speaker's mother. The phrase ""would always tell"" indicates this is something she regularly did, suggesting a pattern or norm in their household. 

Potential labels for this could include:
1. **Inform**: This label would apply if the speaker is providing factual information about what the mother said, which is verifiable to the context of the speaker's life. 
2. **Claim**: This label might be considered if the speaker is making a subjective assertion that reflects a personal perspective rather than an objective fact.
3. **Elaborate**: This could be a possibility if the speaker is explaining a previously mentioned point about the mother's behavior, although there is no clear direct connection to elaboration in the previous utterance.

Given the context, the speaker is recounting a series of events and behaviors to paint a picture of the household environment. This suggests a factual recounting of what occurred, leaning towards an **Inform** act. The statement presents a factual recount of a pattern of behavior by the mother, rather than a subjective interpretation or further explanation of an earlier point. 

Therefore, the best label for this utterance is **Inform**, as it provides verifiable information about the actions of the mother in the context of the abusive situation. There are no clear markers of politeness or meta-acts like sarcasm or reporting in this utterance.",2,93187
Inform,,,"In this target utterance, ""One day, I came home from a friends house, and my little sister (10 at the time) was crying,"" the speaker provides a specific narrative detail. The focus is on describing an event that happened in the past. The utterance doesn't express any subjective feelings or unverifiable opinions, so it doesn't fit the ""Claim"" category. It also doesn't seek to explain or elaborate on something previously stated, which rules out ""Elaborate."" The utterance is providing factual information about a past event, making ""Inform"" the most fitting communicative act. There's no politeness or meta-act clearly expressed, so those fields will remain null.",3,93187
Inform,,,"The target utterance is a narrative continuation of the previous message, where the user describes a specific incident that their sister experienced. The utterance provides factual details about what the sister said and showed to the user, namely that she was hit and thrown against the wall, resulting in bruises. 

To determine the communicative act, I consider:
1. **Inform**: The utterance provides specific, verifiable details about the sister's physical condition and the actions taken by the mother's boyfriend. It is meant to convey factual information to the audience about a past event.
2. **Claim**: Although the utterance contains an assertion, it is not primarily subjective or unverifiable in principle. It focuses on factual reporting rather than a personal opinion or belief.

Given the context, ""Inform"" is the most appropriate label because the user is sharing a concrete event and its consequences with the audience. The utterance does not contain any politeness or meta-acts, as it is straightforward factual reporting. Therefore, the annotation will focus solely on the communicative act.",4,93187
Claim,,,"The target utterance ""In that moment, I went dark."" is a subjective expression of the speaker's emotional state or mental shift. The phrase ""went dark"" is often used metaphorically to describe someone experiencing a negative or intense emotional change, such as anger or despair. It is not providing factual information but rather describing the speaker's personal internal experience at that time. 

Considering the communicative acts, the most fitting label is ""Claim"" because the utterance makes a subjective assertion about the speaker's emotional state. It is unverifiable in principle because it's a personal feeling. Other possible acts like ""Inform"" or ""React"" do not fit as well because the utterance is not providing factual information or engaging directly with another user's comment. 

Therefore, ""Claim"" is the most appropriate label for this utterance. There is no indication of politeness or meta-acts such as sarcasm or reporting, so those tags are not applicable here.",5,93187
Inform,,,"The target utterance provides factual information about the user's living environment and social connections. It states that they lived in a ""poor trailer trash town with high crime"" and had ""plenty of friends who had guns."" This statement offers context to the events being described but doesn't involve subjective opinion or unverifiable assertions. 

In considering the communicative-act labels, ""Inform"" is the most fitting because the user is providing factual context about their environment and social network, which is verifiable and objective. It doesn't express any desires, requests, or inquiries, nor does it engage in any form of direct communication such as directing or inviting. There are no markers of politeness or impoliteness in this statement, as it is presented in a neutral tone. Additionally, there are no meta-acts such as reported speech or non-bona fide language present.

Therefore, ""Inform"" is the appropriate label for this utterance, with no additional politeness or meta tags needed.",6,93187
Inform,,,"The target utterance provides a sequential description of events, where the user narrates the actions taken after deciding to confront their mother's boyfriend. The user states that they went to a friend's house, explained the situation, and then together they drove to the boyfriend's house to wait for him. This is presented as a factual recounting of what happened, indicating that the communicative act is ""Inform.""

The prior message sets the context by explaining the environment and the access to guns, which leads into the decision-making and action described in the target utterance. The next message continues the narrative by detailing the subsequent action of the friend handing over the gun, reinforcing that the target utterance is a part of a factual sequence.

There are no elements of opinion, desire, or inquiry, nor is there a call to action or engagement with the audience in this utterance. It is a straightforward recount of events. Therefore, the most fitting label for this utterance is ""Inform."" There are no indicators of politeness or impoliteness, nor is there any non-bona fide communication.",7,93187
Inform,,,"To determine the communicative act for the target utterance, let's first consider the context provided by the preceding and following utterances. The user is narrating a sequence of events leading up to and including the shooting of his mother's boyfriend. The target utterance describes a specific action: his friend handing him the gun.

1. **Potential Acts**:
   - **Inform**: The user is describing an action that happened, which is factual information within the narrative.
   - **Claim**: Since this is a personal narrative and unverifiable, one might consider it a subjective assertion.
   - **Elaborate**: It could be seen as providing more detail about the events leading up to the shooting.

2. **Analysis**:
   - **Inform** seems most appropriate as the user is providing a factual account within the story. The act of handing over the gun is a specific, verifiable event within the narrative.
   - **Claim** is less fitting because the user is not expressing a subjective opinion or belief but recounting a series of events.
   - **Elaborate** is possible but less direct, as the user is not necessarily expanding upon a prior statement but rather continuing the chronological narrative.

3. **Conclusion**:
   - The primary function of the utterance is to inform the reader of the specific action that occurred in the sequence of events. Therefore, ""Inform"" is the most fitting label.

There are no clear markers of politeness or impoliteness in this utterance, and no meta-acts like sarcasm or reporting are present. Hence, we focus solely on the act of informing.",8,93189
Reject,-P,,"The target utterance describes a violent action that the speaker took, including a direct confrontation with the victim. The phrase ""said 'fuck you bitch'"" introduces a verbal attack, which could be interpreted as insulting language. This is followed by the act of shooting, which is the violent action itself. In terms of communicative acts, the focus is on the verbal interaction that accompanies the action. The utterance does not fit typical categories like Inform (as it is not providing factual information), Request (not asking for anything), or Inquire (not seeking information). It also doesn't fit Desire or Claim as it doesn't express a wish or subjective assertion. The most fitting label is Reject, as the verbal confrontation (""fuck you bitch"") is a clear rejection of the person, intertwined with the act of violence. The politeness dimension is violated through the use of derogatory language, which can be classified under –P [Insult]. There is no need for a meta tag as the utterance is bona fide.",9,93187
