Msg#,Utterance #,Date,Time,User ID,Gender,Message,Reply to_ID,Category,Reply to_cell,Up&Down,act,politeness,meta
1,1,250127,,CallSign_Fjor,,What's up with people not wanting to play a game because someone else has progressed further?,,Original post,,0.0,Inquire,,
2,1,250127,,CallSign_Fjor,,"Recently playing terraria with friends. They were moving a bit slow so I started a single player world and finished it. When I went back to play with friends I used none of my new gear and only used what would be available. I had a bunch of extra summons so everyone could get stuff from the bosses we were killing and someone noted that I had extra stuff (the summons). When I told them I went and beat the game in single player, three of them were immediately uninterested in finishing and haven't joined back on. It's been a week and their excuse is that I've already explored everything and beat the game.",,Original post,,0.0,Inform,,
3,1,250127,,CallSign_Fjor,,This isn't the first time this has happened. At one point in Pax Dei I did some extra mining and the player who wanted to be a blacksmith quit because I was also mining and giving them resources. Their stance was that I invalidated them.,,Original post,,0.0,Claim,,
4,1,250127,,CallSign_Fjor,,"I don't get it, why wouldn't you want more people who can mine for rare resources? Why does me getting rare resources invalidate someone else mining?",,Original post,,0.0,Inquire,,
5,1,250127,,CallSign_Fjor,,"I do not understand the mentality of people being discouraged by someone else's progression. There was a time when a player ""had the thing"" it meant prestige and you wanted to be more like them, not throw your hands up because someone already had endgame armor before you.",,Original post,,0.0,Claim,,
6,1,250127,,AurelianoTampa,,Did you ask your friends? ,CallSign_Fjor,Comment,D2,55.0,Inquire,,
7,1,250127,,AurelianoTampa,,They'd be the ones with the answer.,CallSign_Fjor,Comment,D2,55.0,Claim,,
8,1,250127,,AurelianoTampa,,"As someone not involved, it sounds like they wanted to play and discover the game together. Knowing you had already gone through everything and now were just kinda babysitting them probably took the wind out of their sails and made it less enjoyable. They wanted a new experience as a group, and you went and had the experience on your own. Guessing it's a bit like wanting to watch a show with a group of friends, but one of them binged it beforehand and keeps going ""Oh man, this episode is going to be awesome, you won't believe it!"" It ruins the surprise.",CallSign_Fjor,Comment,D2,55.0,Desire,,
9,1,250127,,wyldmage,,Exactly this.,AurelianoTampa,Reply,D7,7.0,Accept,,
10,1,250127,,wyldmage,,"OP values ""playing a game with friends"". His friends value ""exploring a game with friends"".",AurelianoTampa,Reply,D7,7.0,Inform,,
11,1,250127,,wyldmage,,"They aren't the same, and OP discovered the key difference.",AurelianoTampa,Reply,D7,7.0,Claim,,
12,1,250127,,wyldmage,,"Even worse, if your friend that has finished a game invites you to play it, you go in with the understanding that they are replaying it. ",AurelianoTampa,Reply,D7,7.0,Elaborate,,
13,1,250127,,wyldmage,,"But OP invited them without having played the game, then after they started, played through the entire thing solo.",AurelianoTampa,Reply,D7,7.0,Inform,,
14,1,250127,,wyldmage,,And this sounds like it isn't OP's first time doing it. But it may be the last time his friends bother including him when they play a game together - ,AurelianoTampa,Reply,D7,7.0,Claim,,
15,1,250127,,wyldmage,,because he's demonstrating a repeated inability to only play the game when they're also playing.,AurelianoTampa,Reply,D7,7.0,Elaborate,,
16,1,250127,,wyldmage,,"u/CallSign_Fjor , I recommend learning to play more than 1 game at once. If you start a new game with your friends, start a DIFFERENT game solo, so when you get an itch to play something, you go through it.",AurelianoTampa,Reply,D7,7.0,Direct,,
17,1,250127,,wyldmage,,"Your natural drive & curiosity lead to you wanting to finish a game binge-style, while your friends are different. ",AurelianoTampa,Reply,D7,7.0,Claim,,
18,1,250127,,wyldmage,,"You're going to have to choose between playing with friends, and playing at your own pace.",AurelianoTampa,Reply,D7,7.0,Direct,,
19,1,250127,,wyldmage,,"They aren't mad that you've already beaten the game. They're mad that you started the game with them, then finished it without them. ",AurelianoTampa,Reply,D7,7.0,Repair,,
